"","School","Conf","Total.Revenue","Total.Expenses","Total.Allocated","%.Allocated","Coach","School.Pay","Total.Pay","Max.Bonas","Asst.Pay.Total","Win.19","Lose.19","PCT.19","Win.18","Lose.18","PCT.18","Total.Donation","Allocated.Donation"
"1","Air Force","Mt. West",60101907,53530468,40260673,"66.99","Troy Calhoun",NA,NA,NA,0,11,2,0.846,5,7,0.416666666666667,14424457.68,9662561.52
"2","Akron","MAC",34601000,34873226,24289339,"70.20","Tom Arth",5e+05,5e+05,"$120,000",963000,0,12,0,4,8,0.333333333333333,8304240,5829441.36
"3","Alabama","SEC",177481937,166533013,2627707,"1.48","Nick Saban",8707000,8857000,"$1,100,000",7541277,11,2,0.846,14,1,0.933333333333333,42595664.88,630649.68
"4","Appalachian State","Sun Belt",36940867,36853981,22563152,"61.08","Eliah Drinkwitz",750000,750000,"$315,000",1144990,13,1,0.929,11,2,0.846153846153846,8865808.08,5415156.48
"5","Arizona","Pac-12",95867717,103329464,12463914,"13.00","Kevin Sumlin",1600000,2e+06,"$2,025,000",2990000,4,8,0.333,5,7,0.416666666666667,23008252.08,2991339.36
"6","Arizona State","Pac-12",113636755,126782387,20611739,"18.14","Herm Edwards",2250000,2380000,"$3,967,500",4035000,8,5,0.615,7,6,0.538461538461538,27272821.2,4946817.36
"7","Arkansas","SEC",130126110,127369722,0,"0.00","Chad Morris",4e+06,4e+06,"$1,200,000",4925000,2,10,0.167,2,10,0.166666666666667,31230266.4,0
"8","Arkansas State","Sun Belt",40098989,40098989,12434522,"31.01","Blake Anderson",825000,825182,"$185,000",1183300,8,5,0.615,8,5,0.615384615384615,9623757.36,2984285.28
"9","Auburn","SEC",147620569,139798191,5263319,"3.57","Gus Malzahn",6800000,6827589,"$1,400,000",5902500,9,4,0.692,8,5,0.615384615384615,35428936.56,1263196.56
"10","Ball State","MAC",28634103,28443728,20760621,"72.50","Mike Neu",444403,444403,"$380,000",984832,5,7,0.417,4,8,0.333333333333333,6872184.72,4982549.04
"11","Boise State","Mt. West",48109196,47846748,13794608,"28.67","Bryan Harsin",1750000,1750000,"$1,185,000",2127135,12,2,0.857,10,3,0.769230769230769,11546207.04,3310705.92
"12","Buffalo","MAC",40834648,40763071,30813152,"75.46","Lance Leipold",615000,615000,"$430,000",1148761,8,5,0.615,10,4,0.714285714285714,9800315.52,7395156.48
"13","California","Pac-12",91247489,110558630,0,"0.00","Justin Wilcox",2850000,2854000,"$900,000",4084100,8,5,0.615,7,6,0.538461538461538,21899397.36,0
"14","Central Michigan","MAC",39989495,32540008,30378594,"75.97","Jim McElwain",640900,640900,"$415,000",965000,8,6,0.571,1,11,0.0833333333333333,9597478.8,7290862.56
"15","Charlotte","C-USA",37919619,36160236,26784567,"70.64","Will  Healy",7e+05,7e+05,"$1,365,000",1220500,7,6,0.538,5,7,0.416666666666667,9100708.56,6428296.08
"16","Cincinnati","AAC",61778960,64755303,29238740,"47.33","Luke Fickell",2300000,2300000,"$625,000",2710000,11,3,0.786,11,2,0.846153846153846,14826950.4,7017297.6
"17","Clemson","ACC",120532975,118847123,5304748,"4.40","Dabo Swinney",9255000,9315600,"$1,125,000",7410000,14,1,0.933,15,0,1,28927914,1273139.52
